team,i,fifa_points
Luxembourg,0,401.0
Russia,1,493.0
Timor-Leste,2,44.0
Belgium,3,1346.0
Sierra Leone,4,332.0
St. Kitts and Nevis,5,245.0
Faroe Islands,6,364.0
Tanzania,7,223.0
Dominican Republic,8,175.0
Moldova,9,98.0
Chile,10,1146.0
Lebanon,11,404.0
Wales,12,931.0
Latvia,13,217.0
Jordan,14,272.0
Ivory Coast,15,458.0
Malaysia,16,104.0
Namibia,17,308.0
Brunei,18,36.0
Lesotho,19,172.0
Congo DR,20,711.0
Malawi,21,269.0
Comoros,22,195.0
Guam,23,45.0
Pakistan,24,10.0
Chad,25,108.0
Finland,26,507.0
Angola,27,221.0
Vietnam,28,334.0
Madagascar,29,284.0
Colombia,30,989.0
Bolivia,31,548.0
Armenia,32,347.0
Hungary,33,604.0
Spain,34,1162.0
Panama,35,574.0
Cambodia,36,105.0
Antigua and Barbuda,37,251.0
USMNT,38,880.0
Gabon,39,374.0
Nepal,40,111.0
Philippines,41,289.0
Georgia,42,362.0
Albania,43,549.0
Cape Verde Islands,44,545.0
Botswana,45,195.0
Japan,46,528.0
Mauritania,47,314.0
Kyrgyzstan,48,424.0
Norway,49,608.0
Seychelles,50,37.0
UAE,51,405.0
Australia,52,700.0
Costa Rica,53,858.0
Yemen,54,251.0
Slovakia,55,786.0
Curaçao,56,439.0
Guinea,57,450.0
Croatia,58,975.0
FYR Macedonia,59,422.0
South Sudan,60,130.0
Jamaica,61,587.0
Equatorial Guinea,62,190.0
Switzerland,63,1179.0
Brazil,64,1384.0
Argentina,65,1254.0
Bosnia-Herzegovina,66,688.0
Uzbekistan,67,381.0
Bahrain,68,281.0
Cuba,69,75.0
Germany,70,1544.0
Iceland,71,930.0
Turkey,72,714.0
Benin,73,397.0
Bermuda,74,82.0
Portugal,75,1306.0
China,76,431.0
Tajikistan,77,266.0
Czech Republic,78,647.0
Syria,79,423.0
Tahiti,80,117.0
Niger,81,299.0
Laos,82,80.0
France,83,1166.0
Kuwait,84,126.0
Central African Republic,85,283.0
Qatar,86,339.0
Austria,87,841.0
Morocco,88,681.0
San Marino,89,8.0
Mongolia,90,51.0
Gibraltar,91,34.0
Fiji,92,110.0
Ecuador,93,506.0
Taiwan,94,263.0
Libya,95,341.0
Burundi,96,188.0
Barbados,97,129.0
Saudi Arabia,98,462.0
Poland,99,1128.0
Tunisia,100,1012.0
Thailand,101,253.0
Estonia,102,364.0
Honduras,103,530.0
Peru,104,1106.0
Kosovo,105,164.0
South Korea,106,520.0
Dominica,107,86.0
Macau,108,60.0
Liechtenstein,109,77.0
Congo,110,378.0
Haiti,111,302.0
Iran,112,727.0
Romania,113,737.0
Netherlands,114,969.0
Belarus,115,410.0
Myanmar,116,227.0
Malta,117,62.0
Cyprus,118,386.0
Sweden,119,889.0
Maldives,120,183.0
Afghanistan,121,199.0
Algeria,122,499.0
Republic of Ireland,123,776.0
Ukraine,124,777.0
North Korea,125,297.0
Uruguay,126,976.0
Sudan,127,245.0
Djibouti,128,27.0
Northern Ireland,129,837.0
Ghana,130,603.0
Trinidad and Tobago,131,366.0
Hong Kong,132,194.0
Canada,133,407.0
Paraguay,134,737.0
India,135,354.0
Senegal,136,825.0
Scotland,137,735.0
Ethiopia,138,188.0
Togo,139,242.0
Singapore,140,102.0
Turks and Caicos Islands,141,13.0
New Caledonia,142,135.0
Mexico,143,1008.0
Denmark,144,1054.0
Swaziland,145,240.0
Sri Lanka,146,17.0
Eritrea,147,0.0
Greece,148,657.0
Italy,149,947.0
England,150,1040.0
Bangladesh,151,33.0
Bulgaria,152,583.0
Rwanda,153,252.0
Nicaragua,154,224.0
Oman,155,383.0
Lithuania,156,229.0
Slovenia,157,495.0
Venezuela,158,709.0
Mali,159,462.0
Mozambique,160,311.0
Andorra,161,230.0
Gambia,162,94.0
Nigeria,163,635.0
Zambia,164,412.0
Burkina,165,582.0
Serbia,166,732.0
Mauritius,167,124.0
Montenegro,168,671.0
Palestine,169,357.0
Zimbabwe,170,287.0
São Tomé e Príncipe,171,59.0
Somalia,172,0.0
Israel,173,347.0
Kazakhstan,174,273.0
Guinea-Bissau,175,330.0
Bhutan,176,68.0
Azerbaijan,177,245.0
Turkmenistan,178,242.0
Egypt,179,636.0
Iraq,180,372.0
Uganda,181,426.0
Liberia,182,167.0
Cameroon,183,603.0
South Africa,184,432.0
Kenya,185,289.0
New Zealand,186,229.0
